序号,标题,内容,Title,Content
71,客堂,忆昨离少城，而今异楚蜀。舍舟复深山，窅窕一林麓。栖泊云安县，消中内相毒。旧疾甘载来，衰年得无足。死为殊方鬼，头白免短促。老马终望云，南雁意在北。别家长儿女，欲起惭筋力。客堂序节改，具物对羁束。石暄蕨芽紫，渚秀芦笋绿。巴莺纷未稀，徼麦早向熟。,Sojourner's Hall,"I recall a while ago I left the ""little city,""
and now I'm as far from it as Chu from Shu. 
I left my boat and again deep mountains,
faint and remote, a patch of forested foothills. 
I moored and lodged in Yun'an county,
but my diabetes was poisoning me inside. 
This old sickness has gone on twenty years,
reaching years of decline, have I not had enough? 
Though I'll die and become a ghost in a strange land, 
my hair white, I have avoided a short lifespan.
The old horse gazes at last on clouds,
wild goose in the south, its mind in the north.
Since leaving home, my sons and daughters have grown, 
I want to rise, but am ashamed by sinews' strength.
The seasons change in a sojourner's hall,
all things face me, caught in travels.
Rock sun-warmed, the fern-shoots purple, 
isles splendid, the reed sprouts green.
Ba's orioles are everywhere, not yet few,
frontier wheat is getting ripe early. 
Going on afar, the sun stirs on the river, 
silently spring bids farewell to the trees.
They select outstanding talent for Gentlemen of the Secretariat,
considering myself, I have already reached the peak.
Men of great fame of earlier generations
have perished and were buried, achieving nothing.
It strangely turned out that I wear the cords and badge of office,
yet my endowed nature has always been secluded and solitary. 
Wherever I have rested during my life
I have always planted a couple of stands of bamboo. 
My accumulated legacy, just some thick brew,
my managing and building, only a thatched cottage.
One of the great lords of state recalled me,
he frequently wrote to the throne to provide me with a meager salary. 
The ruler worries, but how can I save the age? -
I am far away, and ever more lapsed from my office.
Practice civil virtues, and court plans will be correct;
explain why something is right, and heaven's avenues will be straight. 
Yet still I imagine scurrying through the court,
in some tiny way to aid the Altars of Earth and Grain.
But with my body as it is now
in advancing or retiring, I leave myself just to travel."
72,立春,春日春盘细生菜，忽忆两京梅发时。盘出高门行白玉，菜传纤手送青丝。巫峡寒江那对眼，杜陵远客不胜悲。此身未知归定处，呼儿觅纸一题诗。,Beginning of Spring,"For spring's first day, ""spring plates"" with slender shoots,
at once I recall the two capitals, the time when plums come out. 
Plates went forth from noble gates bringing that white jade,
the foods were carried by dainty hands bringing threads of green.
The Wu Gorges, the cold river - how can I bear to face them? 
The far wayfarer from Duling feels unbearable sorrow.
Since this body does not know where to go to rest,
I call to the lad to find paper and I write a poem."
73,秋风二首（其二）,秋风淅淅吹我衣，东流之外西日微。天清小城捣练急，石古细路行人稀。不知明月为谁好，早晚孤帆他夜归。会将白发倚庭树，故园池台今是非。,Autumn Wind II,"The autumn wind whistles, blowing on my robes,
out beyond the eastward current the sun grows faint in the west.
Sky clear, a small city, the silk is pounded urgently,
rock ancient, a narrow path, travelers are few.
I know not for whose sake the bright moon is so fine, 
sooner or later my lone sail will head off some night.
May the day come when with white hair I rest by the trees in my yard,
pool and terrace of my garden at home, are they the way they were or not?"
74,秋风二首（其一）,秋风淅淅吹巫山，上牢下牢修水关。吴樯楚柂牵百丈，暖向神都寒未还。要路何日罢长戟，战自青羌连百蛮。中巴不曾消息好，暝传戍鼓长云间。,Autumn Wind I,"The autumn wind whistles blowing on Wu Mountain,
at Upper Lao and Lower Lao they've set up river barriers.
Wu masts and Chu rudders pulled by hundred-yard tow-ropes,
in warm weather they headed to Chengdu, in cold weather they've not yet returned.
On the key roads what day ever are long pikes put away? -
fighting goes from the dark-robed Qiang all the way to the southern Mon.
Never once from middle Ba is the news good,
darkness carries sounds of garrison drums among the white clouds.
"
75,秋日夔府咏怀奉寄郑监李宾客一百韵,绝塞乌蛮北，孤城白帝边。飘零仍百里，消渴已三年。雄剑鸣开匣，群书满系船。乱离心不展，衰谢日萧然。筋力妻孥问，菁华岁月迁。登临多物色，陶冶赖诗篇。峡束沧江起，岩排石树圆。拂云霾楚气，朝海蹴吴天。煮井为盐速，烧畲度地偏。有时惊叠嶂，何处觅平川。鸂鶒双双舞，猕猿垒垒悬。碧萝长似带，锦石小如钱。春草何曾歇，寒花亦可怜。猎人吹戍火，野店引山泉。唤起搔头急，扶行几屐穿。两京犹薄产，四海绝随肩。幕府初交辟，郎官幸备员。瓜时犹旅寓，萍泛苦夤缘。药饵虚狼藉，秋风洒静便。开襟驱瘴疠，明目扫云烟。高宴诸侯礼，佳人上客前。哀筝伤老大，华屋艳神仙。南内开元曲，常时弟子传。法歌声变转，满座涕潺湲。吊影夔州僻，回肠杜曲煎。即今龙厩水，莫带犬戎膻。耿贾扶王室，萧曹拱御筵。乘威灭蜂虿，戮力效鹰鹯。旧物森犹在，凶徒恶未悛。国须行战伐，人忆止戈鋋。奴仆何知礼，恩荣错与权。胡星一彗孛，黔首逐拘挛。哀痛丝纶切，烦苛法令蠲。业成陈始王，兆喜出于畋。宫禁经纶密，台阶翊戴全。熊罴载吕望，鸿雁美周宣。侧听中兴主，长吟不世贤。音徽一柱数，道里下牢千。郑李光时论，文章并我先。阴何尚清省，沈宋歘联翩。律比昆仑竹，音知燥湿弦。风流俱善价，惬当久忘筌。置驿常如此，登龙盖有焉。虽云隔礼数，不敢坠周旋。高视收人表，虚心味道玄。马来皆汗血，鹤唳必青田。羽翼商山起，蓬莱汉阁连。管宁纱帽净，江令锦袍鲜。东郡时题壁，南湖日扣舷。远游凌绝境，佳句染华笺。每欲孤飞去，徒为百虑牵。生涯已寥落，国步乃迍邅。衾枕成芜没，池塘作弃捐。别离忧怛怛，伏腊涕涟涟。露菊班丰镐，秋蔬影涧瀍。共谁论昔事，几处有新阡。富贵空回首，喧争懒著鞭。兵戈尘漠漠，江汉月娟娟。局促看秋燕，萧疏听晚蝉。雕虫蒙记忆，烹鲤问沈绵。卜羡君平杖，偷存子敬毡。囊虚把钗钏，米尽坼花钿。甘子阴凉叶，茅斋八九椽。阵图沙北岸，市暨瀼西巅。羁绊心常折，栖迟病即痊。紫收岷岭芋，白种陆池莲。色好梨胜颊，穰多栗过拳。敕厨唯一味，求饱或三鳣。儿去看鱼笱，人来坐马鞯。缚柴门窄窄，通竹溜涓涓。堑抵公畦棱，村依野庙壖。缺篱将棘拒，倒石赖藤缠。借问频朝谒，何如稳醉眠。谁云行不逮，自觉坐能坚。雾雨银章涩，馨香粉署妍。紫鸾无近远，黄雀任翩翾。困学违从众，明公各勉旃。声华夹宸极，早晚到星躔。恳谏留匡鼎，诸儒引服虔。不逢输鲠直，会是正陶甄。宵旰忧虞轸，黎元疾苦骈。云台终日画，青简为谁编。行路难何有，招寻兴已专。由来具飞楫，暂拟控鸣弦。身许双峰寺，门求七祖禅。落帆追宿昔，衣褐向真诠。安石名高晋，昭王客赴燕。途中非阮籍，查上似张骞。披拂云宁在，淹留景不延。风期终破浪，水怪莫飞涎。他日辞神女，伤春怯杜鹃。淡交随聚散，泽国绕回旋。本自依迦叶，何曾藉偓佺。炉峰生转盻，橘井尚高褰。东走穷归鹤，南征尽跕鸢。晚闻多妙教，卒践塞前愆。顾凯丹青列，头陀琬琰镌。众香深黯黯，几地肃芊芊。勇猛为心极，清羸任体孱。金蓖空刮眼，镜象未离铨。,"Writing My Feelings in Kui on an Autumn Day, Respectfully Sent to Director Zheng and Li, Adviser to the Heir Apparent: One Hundred Couplets","Farthest frontier, north of the Black Mon folk, 
a lone city by White Emperor Castle.
Tossed about, hundred leagues farther on,
diabetic for already three years now.
The male sword cries out in the open case, 
a collection of books fills my moored boat.
Separated by turmoil, the heart does not unfold,
wasting away, daily more dreary.
Wife and children are concerned for my sinews' strength, 
but the years and months have sent off my prime.
Climbing for a view, there are many fine things,
for fashioning my spirit, I rely on my poems. 
The gorges constrain the gray river rising,
the cliffs array round tree-canopies among rocks. 
The latter brush the clouds, buried in Chu vapor;
the river goes to the sea, pressing hard on Wu skies. 
Boiling well-water makes salt quickly;
they cross to remote places to burn off fields.
At times I am amazed by the layers of precipices,
where can one find level land? 
Tufted ducks dance in pairs, 
apes hang in clusters.
Emerald vines, dangling long like sashes,
brocade stones, as small as coins. 
Never do spring plants die,
cold-weather flowers too are adorable. 
Hunters fan up the encampment fires,
a wilderness inn draws from a mountain spring. 
I was called awake, scratching my head urgently,
how many clogs have I worn out, walking with my cane?
In the two capitals I still have some meager resources, 
but abroad in the world close friends are gone. 
When headquarters first called me to service,
I was fortunate to fill the ranks as a Vice-Director. 
In the season for melons I am still a sojourner,
I suffer going on incessantly like a duckweed adrift. 
Medicines, strewn about, to no effect,
but the autumn wind spreads some comfort and ease. 
It opens gown's folds, drives off malarial haze,
sweeps away clouds and mist and makes the eyes see clearly.
A grand feast, ceremonies of the nobility,
the fair women stand before the important guest. 
The mournful zither saddens this aged man
in the splendid chamber, with gorgeous immortals.
It is a Kaiyuan melody from the Southern Palace
in ordinary times passed on by members of the Troupe. 
A dharma song, the notes shifting and changing,
and all the guests were shedding tears.
I lament my lone shadow in far-off Kuizhou, 
my twisting gut seared by thoughts of Duqu. 
Now the waters of Dragonstable
everywhere bear the stench of the Dog Tribes. 
Geng and Jia supported the royal house,
Xiao and Cao bow to the imperial seat.
Using our might, they eliminated scorpions and wasps,
joining forces, they emulated hawk and falcon.
What we had before is still here, intimidating and stern, 
but those wicked men have never repented their evils. 
The dynasty needs to carry out assaults,
but people think fondly on stopping pike and javelin. 
That slave knew nothing of ceremony,
an abundance of grace wrongly gave him authority. 
Once the Hu star came with a comet-flare,
then the common folk were caught fast.
An imperial decree was moving, filled with sorrow and pain, 
complex and troubling laws were abolished.
The legacy established, the first kingship was set forth,
rejoicing at the omens, he went forth on a hunt.
In the forbidden precincts the strands of governance were secret, 
on the Three Terraces aid and support were complete.
As for a bear, he took back L眉 Wang,
""Swan and Wild Goose"" praised King Xuan.
Indirectly I've listened to word about our ruler of the Restoration 
I always chant of his unprecedented worthies.
Excellent news from One-Pillar [Lodge] comes often,
the leagues of road to Xialao are a thousand.
Zheng and Li are glorious in contemporary opinion, 
both are ahead of me in literary composition.
Yin Keng and He Xun, still clear and concise,
Shen Quanqi and Song Zhiwen are suddenly continued. 
Their pitch-pipes compare to Kunlun bamboo,
from their tones can be known the dryness or wetness of strings. 
In panache, they both have great worth,
suiting what is appropriate, they have long forgotten the fishtrap. 
Zheng is always thus in establishing guest-lodges,
as for rising to dragon status, indeed there is such a Li here. 
Although I am prevented from paying them due respects,
I dare not let the opportunity to associate with them slip from me. 
For one excellent discernment gathers the model of men,
for the other an unperturbed mind savors the Way's mysteries. 
Horses reach one, all sweating blood,
for the other cranes screech, ever those of Qingtian.
Supporting wings arose from Mount Shang, 
Penglai connected to the towers of Han. 
Guan Ning's gauze hat is pure,
Director Jiang's brocade gown is fresh.
In that eastern commandery Li sometimes writes poems on walls, 
by Southern Lake Zheng daily raps the sides of the boat.
In far excursions they cross to remote realms
and excellent lines dye their splendid note-paper. 
I always want to go flying off alone to them,
but I am helplessly dragged down by a hundred cares. 
My life is already dreary and bleak,
and the dynasty's fate is facing hard times.
My quilt and pillow have fully sunken in weeds, 
my pond has been left to ruin.
Separations beset me with worries,
at summer and winter festivals, my tears stream.
Dewy chrysanthemums glow in Feng and Hao,
autumn vegetables cast reflections in the Jian and Chan. 
With whom can I discuss past matters? -
in how many places have paths newly been formed? 
I look back in vain to honor and wealth,
in the noise and contention I don't care to whip on my horse. 
Weapons and pikes, the dust billowing,
Yangzi and Han, the moon charming.
In frustration I watch the autumn swallows, 
in the bleakness listen to autumn cicadas.
I have received your remembrance of my ""insect carving,""
carp-case letters enquired after my bedridden state.
For divination I envy Junping's cane, 
robbed, I still have Zijing's quilt.
Purse empty, I take bracelets and hairpins,
rice gone, I snap ornaments from hatpins. 
The orange tree shades with its cool leaves, 
a thatched study of eight or nine beams.
The Eight Formations, on the shore north of the sands,
the city wharf, on the ridge west of the inlet.
Bound by duty away from home, my heart always felt crushed, 
but staying on here, my sickness at once improved.
Purple gathered, Min ridge taros;
white planted, Lu pool lotuses.
When their colors are best, pears are redder than cheeks, 
when their flesh is fullest, chestnuts bigger than fists.
Edict to the kitchen: just one dish,
to get to eat my fill, sometimes I eat three eels.
My son goes off to watch the fish weir, 
someone comes astride a horse blanket. 
Tied up scrapwood, my gate so narrow,
a stream of water trickles through bamboo pipes.
A ditch reaches the ""ridge"" of the public fields,
a village lies by the empty land of a wilderness shrine. 
Hole in my hedge, I take briars to fend off intrusion,
fallen rock, I use rattan to wrap it.
Let me ask: can frequent visits to court 
compare to peacefully sleeping in daylight?
Who says that my progress falls short of others? -
I realize that I can be secure right where I sit.
In foggy rains the silver seal loses its luster,
with its fragrance, the whitewashed office has charms. 
Purple phoenixes have no care for the distance,
let the brown sparrow just flit about here.
I had to struggle in my studies and failed to follow the crowd, 
each of these excellent gentlemen endeavored at it.
The splendor of their repute supports the Pole Star,
sooner or later they will reach the star orbit.
Kuang Heng will be retained for his earnest remonstrance, 
Fu Qian will be recommended by Confucian scholars.
If they do nothing more than practicing their blunt directness,
the chance will come to right the potter's wheel.
Dressing in dark, not eating until night, cares and worries abundant, 
for common folk, distress and bitterness team together.
Their portraits will be there all the day long on Cloud Terrace,
for whom else would green-slip histories be compiled? 
What hardship is there in traveling? -
my excitement focused on a quest. 
Long before I readied oars that fly,
soon I intend to draw the twanging string.
I have vowed myself to that temple by Double Peak, 
as disciple I'll seek Chan's Seventh Patriarch.
I'll lower my sail to pursue my past,
robed in homespun I'll go toward the Truth.
Anshi's was of great fame in the Jin, 
for King Zhao clients headed to Yan. 
On the road I will be no Ruan Ji,
on my raft, I will resemble Zhang Qian. 
Brushed aside, how can clouds still remain? - 
lingering here, the daylight will not extend.
When the wind comes, I'll finally break through the waves,
water monsters will not drool at me.
Some day to come, I'll take leave of the Goddess, 
I dread the cuckoo feeling springtime pain.
Serene friendship will have meetings and partings as they may,
I will roam about circling the watery lands.
I basically adhere to K膩shyapa,
when did I ever rely on Woquan?
Lushan's peaks appear in the blink of an eye,
the tangerines and well are still out of reach.
Rushing east put the crane returning home in desperate straits, 
campaigning south, everywhere kites falling from the sky.
Late I have learned of that doctrine of many subtleties,
at last I will follow it to block former transgressions. 
Where Gu Kaizhi's polychrome painting is arrayed, 
Dh奴ta Temple, where the jadelike stele is carved. 
All kinds of incense from deep in the darkness,
how many places solemn and burgeoning?
With courageous resolve for mind's ultimate state, 
pure and frail, let my body be feeble.
The golden scalpel shaved my eyeballs in vain,
I have never left the measure of images in a mirror."
76,秋兴八首（其八）,昆吾御宿自逶迤，紫阁峰阴入渼陂。香稻啄馀鹦鹉粒，碧梧栖老凤凰枝。佳人拾翠春相问，仙侣同舟晚更移。彩笔昔游干气象，白头吟望苦低垂。,Stirred by Autumn VIII,"At Kunwu Hill the Yusu Brook winds around and away,
where the shadow of Purple Towers crest falls into Lake Meipi.
Sweet-smelling rice, pecked the last, for parrots, the grains
sapphire tung trees, perch of old, the phoenixs branches.
Fair maidens gathered kingfisher plumes, as gentle gifts in spring, 
sharing a boat, undying companions moved further on that evening. 
My colored brush in former outings ventured upon the atmosphere,
now white-haired, I sing and gaze, head hanging in bitterness."
77,秋兴八首（其二）,夔府孤城落日斜，每依北斗望京华。听猿实下三声泪，奉使虚随八月查。画省香炉违伏枕，山楼粉堞隐悲笳。请看石上藤萝月，已映洲前芦荻花。,Stirred by Autumn II,"On Kuizhous lonely walls setting sunlight slants,
then always I trust the North Dipper to lead my gaze to the capital. 
Listening to gibbons I really shed tears at their third cry,
accepting my mission I pointlessly follow the eighth-month raft.
The censer in the ministry with portraits eludes the pillow where I lie, 
hill towers white-plastered battlements hide the sad reed pipes.
Just look there at the moon, in wisteria on the rock,
it has already cast its light by sandbars on flowers of the reeds."
78,秋兴八首（其六）,瞿唐峡口曲江头，万里风烟接素秋。花萼夹城通御气，芙蓉小苑入边愁。朱帘绣柱围黄鹤，锦缆牙樯起白鸥。回首可怜歌舞地，秦中自古帝王州。,Stirred by Autumn VI,"From the mouth of the Qutang Gorge to the Twisting Rivers side, 
thousands of miles of wind-blown fog connect pale autumn. 
Through the walled passage to Calyx Manor the royal aura passed,
and into tiny Lotus Park the frontiers sorrows entered. 
Beaded hangings and sculpted pillars surrounded brown swans, 
from brocade cables and ivory mast rose a white gull.
The head turns with pity and love for those places of song and the dance:
Qin since ancient times has been land of emperors."
79,秋兴八首（其四）,闻道长安似弈棋，百年世事不胜悲。王侯第宅皆新主，文武衣冠异昔时。直北关山金鼓振，征西车马羽书迟。鱼龙寂寞秋江冷，故国平居有所思。,Stirred by Autumn IV,"I have heard tell that in Changan its like playing chess,
a hundred-year span, the worlds troubles, grief beyond enduring. 
Mansions of counts and princes all have new masters,
those in civil and army uniforms differ from olden times.
Straight north past fortified mountains kettledrums are thundering 
from wagon and horse on western campaigns winged dispatches rush. 
Fish and dragons grow silent now, autumn rivers grow cold,
the life I used to have at home is the longing in my heart."
80,秋兴八首（其五）,蓬莱宫阙对南山，承露金茎霄汉间。西望瑶池降王母，东来紫气满函关。云移雉尾开宫扇，日绕龙鳞识圣颜。一卧沧江惊岁晚，几回青琐照朝班。,Stirred by Autumn V,"Palace towers of Penglai stand facing South Mountain,
the metal stalk that catches the dew is high in the Milky Way. 
Gazing west to Onyx Pool the Queen Mother is descending,
from the east come purple vapors and fill Han Pass. 
Pheasant tails shift in clouds, palace fans open 
sunlight circles dragon scales, I see the Emperors face.
By the gray river I lay once and woke, alarmed that the year had grown late -
how often did I, by the gates blue rings, take my humble place in dawn courts ranks?"
81,秋兴八首（其一）,玉露凋伤枫树林，巫山巫峡气萧森。江间波浪兼天涌，塞上风云接地阴。丛菊两开他日泪，孤舟一系故园心。寒衣处处催刀尺，白帝城高急暮砧。,Stirred by Autumn I,"Jade-white dew withers and harms forests of maple trees,
on Wu Mountain and in Wu Gorges, the atmosphere, bleak and dreary. 
Between rivers margins the waves churn level with sky,
wind-driven clouds over passes touching earth in shadow. 
Chrysanthemum clumps twice have bloomed forth tears of another day, 
a lonely boat tied up once and for all a heart set on its homeland. 
Everywhere clothes for cold weather hasten ruler and blade,
walls of White Emperor Castle high, pounding blocks urgent in dusk."
82,热三首（其二）,瘴云终不灭，泸水复西来。闭户人高卧，归林鸟却回。峡中都似火，江上只空雷。想见阴宫雪，风门飒踏开。,"
Heat II","Miasmal clouds never disappear, 
the Lu River comes from the west.
People close their doors and just lie down,
birds turn back to the forest. 
Everywhere in the gorges is like fire, 
and over the river, only useless thunder.
I imagine seeing the snow of the palace ice-house,
its breezy gates swinging briskly open."
83,热三首（其三）,朱李沉不冷，雕菰炊屡新。将衰骨尽痛，被褐味空频。歘翕炎蒸景，飘飖征戍人。十年可解甲，为尔一沾巾。,"
Heat III","The red plum, immersed, does not get cold, 
zizania seeds are often freshly cooked. 
Getting frail, my bones all hurt,
suffering sunstroke, the flavors change frequently in vain. 
Very quick is this scene of steamy heat,
long swept along, the soldiers on campaign. 
Only after ten years can you take off your armor,
for you I soak my kerchief."
84,热三首（其一）,雷霆空霹雳，云雨竟虚无。炎赫衣流汗，低垂气不苏。乞为寒水玉，愿作冷秋菰。何似儿童岁，风凉出舞雩。,"
Heat I","In vain the thunder peals and rumbles,
in the end there is nothing of clouds and rain. 
Blazing and fiery, clothes stream with sweat,
the head hangs low, the breath does not revive. 
I beg to be jade in cold water,
I wish to become a chill autumn zizania.
How can this compare to my childhood years,
the wind cool as I came out on the rain altars?"
85,宿江边阁,暝色延山径，高斋次水门。薄云岩际宿，孤月浪中翻。鹳鹤追飞静，豺狼得食喧。不眠忧战伐，无力正乾坤。,Spending the Night in a Pavilion by the River,"The colors of darkness extend on the mountain paths, 
in a high study I lodge by the river gate.
Filmy clouds spend the night on cliff 's edge,
the lone moon heaves over in the waves.
Cranes and storks serene, flying after one another, 
wolves and wild dogs howl, getting their prey.
I do not sleep from worry over battles -
I lack the strength to right the universe."
86,峡中览物,曾为掾吏趋三辅，忆在潼关诗兴多。巫峡忽如瞻华岳，蜀江犹似见黄河。舟中得病移衾枕，洞口经春长薜萝。形胜有余风土恶，几时回首一高歌。,Observing Things in the Gorges,"I once was a local clerk, busy in the Three Core Regions,
I recall that at Tong Pass I had much inspiration for poems.
The Wu Gorges suddenly seem as though looking on Mount Hua,
just as the Yangzi in Shu resembled seeing the Yellow River. 
I grew sick in my boat, moved my pillow and quilt,
at this cavern mouth I spend the spring as the hanging moss grows long.
The scenery is amply splendid, but the climate bad,
when will I turn my head and sing out loud?"
87,赠李八一作公秘书别三十韵,往时中补右，扈跸上元初。反气凌行在，妖星下直庐。六龙瞻汉阙，万骑略姚墟。玄朔回天步，神都忆帝车。一戎才汗马，百姓免为鱼。通籍蟠螭印，差肩列凤舆。事殊迎代邸，喜异赏朱虚。寇盗方归顺，乾坤欲晏如。不才同补衮，奉诏许牵裾。鸳鹭叨云阁，麒麟滞玉除。文园多病后，中散旧交疏。飘泊哀相见，平生意有馀。风烟巫峡远，台榭楚宫虚。触目非论故，新文尚起予。清秋凋碧柳，别浦落红蕖。消息多旗帜，经过叹里闾。战连唇齿国，军急羽毛书。幕府筹频问，山家药正锄。台星入朝谒，使节有吹嘘。西蜀灾长弭，南翁愤始摅。对扬抏士卒，干没费仓储。势藉兵须用，功无礼忽诸。御鞍金騕褭，宫砚玉蟾蜍。拜舞银钩落，恩波锦帕舒。此行非不济，良友昔相于。去旆依颜色，沿流想疾徐。沈绵疲井臼，倚薄似樵渔。乞米烦佳客，钞诗听小胥。杜陵斜晚照，潏水带寒淤。莫话清溪发，萧萧白映梳。,Presented to Librarian Li On Parting: Thirty Couplets,"In bygone times you filled in the right in the Secretariat, 
in the entourage at a new reign's beginning.
A rebel aura offended the temporary capital,
stars of witchery descended on lodgings for attendance. 
The six dragons peered from afar toward the Han palace, 
ten thousand riders toured Yao Waste.
The Northland saw the return of Heaven's Pace,
our holy capital remembered the imperial carriage.
No sooner did horses sweat in one campaign 
than the common folk avoided becoming fish. 
On the registry, with a coiling dragon seal,
we were shoulder to shoulder lining the phoenix palanquin. 
What happened differed from the greeting at Dai Lodge, 
your joy was unlike the reward of Zhuxu.
Then the rebels returned to allegiance,
Heaven and Earth were getting peaceful and calm. 
Untalented, I joined with you in repairing the dragon robes, 
receiving a summons, I was permitted to tug the robe-hems. 
Among egret ranks I was unworthy of the cloud towers,
you, the unicorn, lingered on the jade stairs.
The poet of Wen's Park, after much sickness; 
the Courtier, his former friends estranged. 
Tossed along, mournful, I meet you,
with abundance of thoughts on how it used to be. 
Windblown mist, Wu Gorges stretch far,
Chu palace's terraces and kiosks are gone.
What strikes my eyes here does not make for discussing old times,
but your new writings still ""rouse me."" 
Clear autumn withers the emerald willows, 
on parting's shores fall the red lotus.
There is news of many battle-flags,
what I have been through brings sighs for my home village. 
Battles in succession, domains that are as lips to teeth, 
army emergencies, the feathered dispatches speed.
At headquarters he repeatedly asked you for plans,
at your mountain home you were then hoeing medicinal herbs. 
A ""Terrace Star"" went to court to pay respects,
from the Commissioner there was a recommendation. 
In western Shu disaster will be put to rest for a long time,
this old man in the south, for the first time relaxes his fury. 
Responding to the emperor, tell him to reduce troops 
greed wastes the supplies in storehouses.
The situation depends on the necessary use of soldiers,
but accomplishment is wanting, and ritual is overlooked.
An imperial saddle, a gilded charger, 
a palace inkstone, a jade toad.
As you dance obeisance, silver hooks descend,
imperial grace in waves, a brocade horse-blanket unfurls. 
This trip will not be without help to the country,
but closeness to my good friend will be in the past.
I look fondly on your countenance with the departing oars,
I fancy your speed along the river.
Overcome by illness, too weary to draw water or hull rice, 
hard-pressed, like wood-gatherers or fishermen.
I trouble my fine guest begging for rice,
I copy poems heeding minor officials. 
The evening sunlight slants on Duling, 
the Jue's waters lined by cold mud.
Don't tell of the hair of one by these clear creeks
that white-streaked locks shine against the comb."
88,中宵,西阁百寻余，中宵步绮疏。飞星过水白，落月动沙虚。择木知幽鸟，潜波想巨鱼。亲朋满天地，兵甲少来书。,The Middle of Night,"West tower, more than a hundred yards high, 
in the middle of night I pace its grillwork. 
Shooting stars, white passing the waters,
setting moonlight, formless stirring on stands.
I know of the hidden bird, carefully choosing its branch, 
I imagine the huge fish, sunken under the waves.
Friends and kin fill the whole world.
yet in the warfare few letters come."
89,子规,峡里云安，江楼翼瓦齐。两边山木合，终日子规啼。眇眇春风见，萧萧夜色凄。客愁那听此，故傍旅人低。,Cuckoo,"Yun'an county in the Gorges,
mansion by the river, its winglike tiles even. 
On both sides the mountain trees merge,
and all day the cuckoo cries.
Far and faint, heard in spring breeze, 
dreary in the gloomy colors of night.
How can the sojourner, with his sorrows, listen to this?	
on purpose near to me it sings softly."
90,八月十五夜月二首（其二）,稍下巫山峡，犹衔白帝城。气沉全浦暗，轮仄半楼明。刁斗皆催晓，蟾蜍且自倾。张弓倚残魄，不独汉家营。,"
Moon on the Night of the Fifteenth of the Eighth Month II","It gradually lowers in the Wu Mountain gorge, 
still holding White Emperor Castle in its light. 
Sunken in vapor, the whole shore is dark,
as the orb slants, half the tower is bright. 
Watch-kettles all hurry the morning along, 
and the Toad tips downward on its own.
Stretching a bow depending on fading moonlight
was not only in the camp of the House of Han."
91,八月十五夜月二首（其一）,满目飞明镜，归心折大刀。转蓬行地远，攀桂仰天高。水路疑霜雪，林栖见羽毛。此时瞻白兔，直欲数秋毫。,Moon on the Night of the Fifteenth of the Eighth Month I,"That bright mirror flies, filling my eyes, 
homesick heart, a broken great sword.
Tossed dandelion puff, the places it goes are far,
having pulled on the cassia branch, I look up to the heavens' height.
The water route seems like frost and snow,
I can see feathers and down at roost in the woods. 
At this moment I look on the white Hare,
and can virtually count its autumn hairs."
92,别李秘书始兴寺所居,不见秘书心若失，及见秘书失心疾。安为动主理信然，我独觉子神充实。重闻西方止观经，老身古寺风泠泠。妻儿待我且归去，他日杖藜来细听。,Parting From Li of the Palace Library Where He is Staying in Shixing Temple,"Not seeing the Librarian my heart feels lost, 
getting to see the Librarian I lose heart's torment.
Stillness governs action, that principle is true indeed,
I alone am aware that you have achieved a fullness of spirit.

Again I hear you recite that Western Sutra of Cessation,
for my old body, an ancient temple where the breeze is cool.
My wife and children await my coming, I'll go back now for a while,
someday, leaning on my staff, I'll come to listen in detail."
93,登高,风急天高猿啸哀，渚清沙白鸟飞回。无边落木萧萧下，不尽长江滚滚来。万里悲秋常作客，百年多病独登台。艰难苦恨繁霜鬓，潦倒新停浊酒杯。,Climbing the Heights,"The wind blows hard, the heavens, high, gibbons howl in lament,
isles clear, sands white, where birds turn in flight.
Endless trees shed their leaves that descend in the whistling wind,
unending, the long River comes on churning.
Grieving for fall across ten thousand leagues, always a traveler,
often sick in this century of life I climb the terrace alone.
In hardship I bitterly resent these tangled, frost-white locks,
down and out, I recently quit cups of thick ale."
94,东屯月夜,抱疾漂萍老，防边旧谷屯。春农亲异俗，岁月在衡门。青女霜枫重，黄牛峡水喧。泥留虎斗迹，月挂客愁村。乔木澄稀影，轻云倚细根。数惊闻雀噪，暂睡想猿蹲。日转东方白，风来北斗昏。天寒不成寝，无梦寄归魂。,Moonlit Night at East Camp,"Sick old man, duckweed swept along,
defending frontiers, a former grain-producing camp. 
In spring farming I grow fond of the strange ways here,
months and years pass right at my barred gate. 
The Blue Maid, frosty maples heavy,
waters of Yellow Ox Gorge are noisy. 
Mud retains the tracks of tigers fighting,
the moon hangs above this village of a sojourner's sadness. 
Sparse shadows of tall trees show clearly,
light clouds rest along their small roots. 
Often startled hearing the sparrows' ruckus,
sleeping a while, I imagine the gibbons crouching. 
The sun turns, the east grows white,
a breeze comes, and the Northern Dipper fades. 
The weather so cold I cannot get to sound sleep,
dreamless, there is a soul longing to go home."
